source,box_id,date,gameId,tmID,homeTm,tmName,assisted3ptShooter,assistedLUShooter,assistedShooter,assister,assister3pt,assisterLu,blockplyr,dfoulplyr,drebounder,fg3aplyr,fg3mplyr,fgaplyr,fgmplyr,ftaplyr,ftmplyr,livetov1,luaplyr,lumplyr,ofoulplyr,orebounder,pts,rebounder,stlr,tov1,minutes_played,eFG,fg2p,fg3p,ftr,totPoss,netPts2s,netPts3s,netPtsShooting,netPtsTurnover,netPtsRebound,netPtsFreethrow,oppPoss,oppPts,win,minutes_decimal
espnanalytics,20250811-1022500204,2025-08-11,1022500204,1611661323,0,CON,5,3,16,16,5,3,5,16,25,25,5,61,21,14,10,4,15,7,2,10,57,35,6,14,200:00,0.3852,0.4444,0.2,0.1639,69.0,1.7675,-5.489,-3.7216,-14.644,0.3881,3.8495,68.649,74,0,200.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,1611661331,1,GSV,13,5,22,22,13,5,2,18,25,33,13,63,26,13,9,6,18,7,0,7,74,32,4,9,200:00,0.5159,0.4333,0.3939,0.1429,68.649,1.0403,10.1262,11.1666,-9.414,-1.9811,3.1006,69.0,57,1,200.0
