run_id,generated_at,game_date,away,home,team,player,player_id,market,projection,projection_basis,sigma,sigma_source,line,side,odds,opposite_odds,book,model_prob,implied_prob,vig_free,edge,tier,verdict,priced
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,LAS,Erica Wheeler,204365,player_rebounds,2.16,"season RPG; L5 reb x0.45, minutes x0.88",1.699,"player-fitted (n=34, shrunk to league)",2.5,under,141,-185,betonlineag,0.5793,0.39,True,0.1893,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,LAS,Erica Wheeler,204365,player_assists,4.62,"season APG; L5 ast x0.45, minutes x0.88",2.092,"player-fitted (n=34, shrunk to league)",5.5,under,115,-157,draftkings,0.663,0.4323,True,0.2308,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,LAS,Erica Wheeler,204365,player_threes,1.25,"season fg3m history; L5 fg3m x0.45, minutes x0.88",1.056,"player-fitted (n=34, shrunk to league)",1.5,under,143,-172,betrivers,0.5936,0.3942,True,0.1993,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,LAS,Cameron Brink,1642287,player_points,8.08,season PPG; L5 pts x0.45 + source pts x0.35,4.913,"player-fitted (n=28, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,LAS,Cameron Brink,1642287,player_rebounds,5.12,season RPG; L5 reb x0.45,2.588,"player-fitted (n=28, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,LAS,Cameron Brink,1642287,player_assists,1.44,season APG; L5 ast x0.45,1.357,"player-fitted (n=28, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,LAS,Cameron Brink,1642287,player_threes,0.68,season fg3m history; L5 fg3m x0.45,0.815,"player-fitted (n=28, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Leila Lacan,1642303,player_points,10.33,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x0.97",5.322,"player-fitted (n=24, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Leila Lacan,1642303,player_rebounds,2.19,"season RPG; L5 reb x0.45, minutes x0.97",1.759,"player-fitted (n=24, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Leila Lacan,1642303,player_assists,4.31,"season APG; L5 ast x0.45, minutes x0.97",1.657,"player-fitted (n=24, shrunk to league)",,,,,,,,False,,,PROJ,False
