id,name,team,pos,season,gp,mpg,projectedMinutes,expectedMinutes,projectedPoints,expectedPoints,projectedPlayProbability,projectedStarterProbability,projectionConfidence,ppg,rpg,apg,usg,ortg,drtg,netRtg,rapm,rapmConfidence,cvi,cviConfidence,bpm,roleTrustScore,minutesRoleGap,creationLoad,rimPressureIndex,shotQualityIndex,defensiveActivityIndex,sample_weight,low_sample,minutes_signal,usage_signal,impact_signal,scoring_signal,role_signal,recent_minutes_signal,recent_usage_signal,recent_scoring_signal,recent_pra_signal,volatility_penalty,confidence_penalty,anchor_gap,market_attention,attention_penalty,edge_score,lean,watch_reason
1629497,Marina Mabrey,TOR,F,2026-27,32,29.5,26.42329463735815,11.390935244659692,20.81925832050947,8.975066380839351,0.43109443394522,0.783176750554701,44.8,20.8,3.3,3.7,30.4,105.1,113.6,-8.5,-0.39,34.4,5.35,97.0,0.01,62.7,-3.1,29.6,46.1,-1.3,6.3,0.8629,False,-0.048594282717587235,3.205826886952989,0.6422793792951182,1.9280742315844774,0.18736391136223018,-3.343295124385754,,-4.219355974763971,-4.054657071768749,2.9166427422224763,0.552,-8.535809164555884,1.9744665885806265,1.9744665885806265,6.598615184709953,UNDER,"minutes down L5, PRA below anchor, scoring cooled L5, heavily bet — priced efficiently, low projection confidence, volatile game-to-game"
1628279,Brittney Sykes,TOR,G,2026-27,17,29.4,18.814897263271863,11.888285297111048,12.752964748921586,8.05802344800129,0.6318549142608341,0.818566414116019,59.0,18.6,3.5,3.4,28.7,107.7,110.0,-2.3,-0.04,34.9,0.81,81.9,0.07,68.9,-10.6,28.5,77.9,-2.9,7.2,0.7692,False,-1.4866293319871249,2.504679233573124,0.3744648672312469,0.94181096461452,0.9018490184441876,-2.935128468038836,0.053960345953284326,-3.3358017114003986,-1.7296492635746787,2.8660160307074483,0.41,-7.47773993096173,1.7375273023631308,1.7375273023631308,5.728472272103303,UNDER,"role shrinking, minutes down L5, PRA below anchor, scoring cooled L5, heavily bet — priced efficiently, volatile game-to-game"
1642815,Makayla Timpson,IND,F,2026-27,39,19.3,26.01881725900028,25.445564589560437,8.032009714102385,7.855046596842193,0.9779677660312732,0.8880520669134081,72.9,5.5,4.9,0.5,11.4,118.6,105.9,12.7,1.88,41.6,-4.9,84.2,0.09,71.1,6.7,11.1,112.6,16.8,12.0,0.8338,False,1.9943238207904888,-1.8754379253922917,0.9869103390439297,0.661926397061587,1.427680772899907,1.4926980466154673,0.11598201604301395,1.266062288498901,1.6087948958899478,0.1330646663729457,0.27099999999999996,5.858371922106632,-0.4652185673622653,0.0,5.716705755513396,OVER,"role expanding, minutes up L5, PRA above anchor, scoring up L5"
1628276,Kelsey Plum,PHX,G,2026-27,17,30.6,19.19353114301506,5.787828178286725,14.957197893762077,4.510357723791308,0.301550982732692,0.36511492959923,30.2,21.5,2.1,5.4,28.3,107.1,111.1,-4.0,1.04,39.9,5.8,81.3,0.06,55.7,-11.4,31.5,59.2,-2.9,3.4,0.7762,False,-1.6595408140679275,2.7845686331881034,1.4926528376239288,1.087133756677239,-0.5752999637749225,-2.755270722594258,0.6416884685834,-3.5418257254597587,-2.338510312086143,3.5681901161966136,0.698,-7.605748556637006,1.9288680140109626,1.9288680140109626,5.470067020582371,UNDER,"role shrinking, minutes down L5, PRA below anchor, scoring cooled L5, heavily bet — priced efficiently, low projection confidence, volatile game-to-game"
1642800,Aneesah Morrow,TOR,F,2026-27,27,22.3,13.987687050877062,12.757259670092711,8.00734778557785,7.302981157485456,0.9120349650153772,0.416189063042496,60.1,11.0,8.3,1.4,23.8,97.2,111.7,-14.5,-1.39,50.1,0.42,82.1,-0.14,61.7,-8.3,20.8,65.9,4.2,11.1,0.8006,False,-1.0925912620882787,1.0595873299706338,-0.6656417443632973,0.25935060987996666,0.6126696894496515,-2.089868835523924,-0.6638952219626387,-1.9430005090804814,-2.022223490782528,2.0976969884819883,0.39899999999999997,-6.461379459495443,0.7261689170155243,0.7261689170155243,5.414270753867183,UNDER,"role shrinking, minutes down L5, PRA below anchor, scoring cooled L5, volatile game-to-game"
1629567,Natisha Hiedeman,SEA,G,2026-27,36,29.8,30.868643766001583,18.46898058362232,13.80466330544773,8.259451256895385,0.598308779732133,0.819870655563206,53.9,15.4,2.7,4.8,23.1,103.3,105.1,-1.8,1.15,55.9,3.15,95.6,0.06,71.6,1.1,30.5,39.9,-6.3,6.4,0.8773,False,0.8595033009807963,2.1955987186797126,1.4545925020922248,0.8935339161295046,0.8662458045476318,-2.6188670989950826,-0.777339751408484,-2.7025633822684285,-3.1744339568373743,1.3948823129693033,0.461,-6.027496142734478,1.2227673694637435,1.2227673694637435,4.882991879760279,UNDER,"role expanding, minutes down L5, usage down L5, PRA below anchor, scoring cooled L5, heavily bet — priced efficiently, volatile game-to-game"
1631055,Nyara Sabally,TOR,C,2026-27,24,23.9,17.761431888257793,5.739833144085371,10.677483118399469,3.450564790270008,0.323162748375034,0.403855845102339,33.4,12.3,5.3,1.7000000000000002,21.6,105.2,110.2,-5.0,0.34,32.2,0.36,81.7,0.03,46.7,-6.1,18.2,89.8,9.1,11.2,0.7927,False,-0.6512288397640019,0.45283154638352724,0.5207140636601548,0.7940358925625086,-0.8806924250411649,-2.4219169380733585,,-2.1829043264590657,-2.0129327868474682,1.5885171475341948,0.6659999999999999,-5.787546145194135,0.7285025970351643,0.7285025970351643,4.759765559793004,UNDER,"minutes down L5, PRA below anchor, scoring cooled L5, low projection confidence, volatile game-to-game"
1630386,Awak Kuier,DAL,F,2026-27,37,17.7,23.034211089323108,23.034211089323108,7.249109518915817,7.249109518915817,1.0,0.425243731362869,64.7,5.9,3.8,1.0,15.5,110.1,101.1,9.0,-0.15,54.1,-0.92,82.1,0.22,58.6,5.3,11.6,63.5,8.5,18.7,0.8136,False,1.6644828643497604,-1.1656515470761304,0.30363892078698035,0.14260525098233287,0.6149646097333604,1.475599495897427,-0.34482798780294643,0.6628933372711685,1.2960729336343828,0.29078046348734676,0.353,4.5466944719823275,-0.2516320844875845,0.0,4.332799356110491,OVER,"role expanding, minutes up L5, PRA above anchor"
1643455,Angela Dugalic,WAS,F,2026-27,34,9.4,1.842393107294524,1.442227389141376,0.005992846617736,0.004691207048486,0.7828011206898321,0.021178294636387,59.4,2.9,2.4,0.6000000000000001,17.3,94.2,106.8,-12.6,-1.49,58.4,-6.49,76.2,-0.16,36.8,-7.6,13.9,69.7,7.7,11.0,0.6806,True,-0.8004782566865598,-0.5402683856074847,-1.2481823916270665,-0.6496936388398924,-0.5258205075127514,-0.5240933594212778,7.513422298199086,-0.26646023146061726,-0.6566314840769701,0.0,0.406,4.2370208319744025,-0.6285755879118651,0.0,4.074620831974403,OVER,"role shrinking, usage up L5, LOW SAMPLE"
203400,Skylar Diggins,CHI,G,2026-27,19,29.1,27.88143064424236,0.278448764774642,13.451406548136816,0.134337709768264,0.009986889422123,0.392823267356149,18.0,14.2,3.2,4.9,22.9,101.7,108.1,-6.4,1.22,49.2,4.5,83.4,0.06,49.9,-1.2,25.5,66.2,-5.9,7.1,0.7866,False,0.3209833363237833,1.4098715863906832,1.4835555689445064,0.9617582784041513,-1.2103822293177917,-3.0016746433390296,,-2.541671678500904,-1.9804718058773716,2.1498699146393325,0.82,-5.316564346146617,1.1137357783339885,1.1137357783339885,3.8942289783197888,UNDER,"minutes down L5, PRA below anchor, scoring cooled L5, heavily bet — priced efficiently, low projection confidence, volatile game-to-game"
