playerId,player,team,split_type,split_value,games,min_avg,pts_avg,reb_avg,ast_avg,pra_avg,stl_avg,blk_avg,stocks_avg,tov_avg,fga_avg,fg3a_avg,fta_avg,usage_proxy_avg,fantasy_simple_avg,plusMinus_avg,starter_rate,win_rate
1628932,A'ja Wilson,LVA,home_away,away,18,32.11666666666667,27.22222222222222,8.777777777777779,2.7777777777777777,38.77777777777778,1.5,2.2777777777777777,3.7777777777777777,2.4444444444444446,17.944444444444443,1.9444444444444444,8.444444444444445,0.7496420174625631,50.81111111111112,9.944444444444445,1.0,0.7222222222222222
1628932,A'ja Wilson,LVA,home_away,home,16,32.425000000000004,24.875,10.8125,3.375,39.0625,1.4375,1.875,3.3125,2.6875,17.125,2.9375,7.4375,0.7139486609490391,50.162499999999994,4.4375,1.0,0.625
1628932,A'ja Wilson,LVA,month,Aug,8,34.0,25.125,9.875,2.75,37.75,1.125,2.5,3.625,3.125,18.125,2.375,8.0,0.7238487886377579,48.85,4.375,1.0,0.5
1628932,A'ja Wilson,LVA,month,Jul,7,30.571428571428573,28.285714285714285,10.571428571428571,3.857142857142857,42.714285714285715,1.5714285714285714,1.8571428571428572,3.4285714285714284,1.5714285714285714,17.142857142857142,2.7142857142857144,8.285714285714286,0.7292393477968991,55.471428571428575,12.857142857142858,1.0,0.7142857142857143
1628932,A'ja Wilson,LVA,month,Jun,11,33.372727272727275,26.454545454545453,10.272727272727273,2.909090909090909,39.63636363636363,2.0,1.8181818181818181,3.8181818181818183,2.6363636363636362,17.454545454545453,2.6363636363636362,8.909090909090908,0.7187854276661355,51.96363636363637,7.909090909090909,1.0,0.8181818181818182
1628932,A'ja Wilson,LVA,month,May,8,30.474999999999998,24.75,8.125,2.875,35.75,1.0,2.25,3.25,2.75,17.5,1.875,6.375,0.7643286801878642,45.8125,4.75,1.0,0.625
1628932,A'ja Wilson,LVA,opponent,ATL,3,31.833333333333332,23.333333333333332,8.666666666666666,2.6666666666666665,34.666666666666664,0.6666666666666666,3.0,3.6666666666666665,3.3333333333333335,13.666666666666666,1.6666666666666667,8.333333333333334,0.6416059279584371,45.4,7.333333333333333,1.0,0.6666666666666666
1628932,A'ja Wilson,LVA,opponent,CHI,2,34.25,33.0,13.5,2.5,49.0,2.5,2.5,5.0,3.0,20.5,2.0,14.0,0.8650468883205455,64.95,5.0,1.0,0.5
1628932,A'ja Wilson,LVA,opponent,CON,2,26.400000000000002,33.5,7.0,2.0,42.5,0.5,2.0,2.5,2.0,16.5,1.0,11.0,0.8993728517156123,50.400000000000006,24.0,1.0,1.0
1628932,A'ja Wilson,LVA,opponent,DAL,3,30.733333333333334,23.666666666666668,7.0,1.6666666666666667,32.333333333333336,0.6666666666666666,0.0,0.6666666666666666,2.0,20.0,1.3333333333333333,5.0,0.7836222710185788,34.56666666666666,-5.333333333333333,1.0,0.3333333333333333
