team,split_type,split_value,games,pts_avg,opp_pts_avg,margin_avg,pace_avg,total_avg,win_rate,efg_avg,tov_rate_proxy_avg,three_rate_avg,ft_rate_avg
ATL,home_away,away,13,85.84615384615384,84.07692307692308,1.7692307692307692,80.1923076923077,169.92307692307693,0.5384615384615384,0.4798587676374234,0.13935126769269376,0.3810988790704056,0.3286974039835609
ATL,home_away,home,13,92.84615384615384,86.46153846153847,6.384615384615385,81.57692307692308,179.30769230769232,0.6923076923076923,0.5130031827851064,0.13240639063574935,0.3740549622900664,0.368387961981353
ATL,month,Jul,7,92.14285714285714,89.14285714285714,3.0,82.78571428571429,181.28571428571428,0.5714285714285714,0.49136747681967624,0.1408489617768547,0.38555096063537125,0.3543443809013942
ATL,month,Jun,12,90.91666666666667,86.25,4.666666666666667,80.41666666666667,177.16666666666666,0.5833333333333334,0.4993280428714404,0.11891302565036783,0.36543046699927356,0.3632284682068802
ATL,month,May,7,83.85714285714286,79.71428571428571,4.142857142857143,79.78571428571429,163.57142857142858,0.7142857142857143,0.49652807189969567,0.15999293114676624,0.3904253727496079,0.31756535325022256
ATL,opponent,CHI,2,87.5,83.0,4.5,79.0,170.5,1.0,0.4757722007722008,0.1427557862045608,0.3749034749034749,0.2967181467181467
ATL,opponent,CON,1,91.0,75.0,16.0,77.5,166.0,1.0,0.5735294117647058,0.14619883040935672,0.5441176470588235,0.2647058823529412
ATL,opponent,DAL,2,81.5,70.5,11.0,78.0,152.0,1.0,0.5194015895278168,0.15297439378051975,0.3600981767180926,0.22802711547452081
ATL,opponent,GSV,3,74.66666666666667,81.0,-6.333333333333333,77.83333333333333,155.66666666666666,0.0,0.4214933853459973,0.15165204875002491,0.32456561887532037,0.4155783582089552
ATL,opponent,IND,3,97.33333333333333,93.33333333333333,4.0,83.16666666666667,190.66666666666666,0.6666666666666666,0.5166720744105558,0.10913335761605934,0.2997674670127623,0.41765177734515824
ATL,opponent,LAS,1,101.0,92.0,9.0,84.5,193.0,1.0,0.5547945205479452,0.1697962445065921,0.3835616438356164,0.3150684931506849
